"year","fips","pop2010","pop2023","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2023,36057,50219,49325,"New York","NY",-0.017802027121209152,"Montgomery County","Montgomery County","montgomery-county-ny",403,122.39454094292805,0.0024121938219375983,46,122.39454094292805,403
2023,36107,51125,47654,"New York","NY",-0.06789242053789735,"Tioga County","Tioga County","tioga-county-ny",519,91.81888246628131,0.0023304751016850343,47,91.81888246628131,519
2023,36039,49221,47544,"New York","NY",-0.03407082342902423,"Greene County","Greene County","greene-county-ny",647,73.483771251932,0.002325095652715685,48,73.483771251932,647
2023,36033,51599,46343,"New York","NY",-0.10186243919455806,"Franklin County","Franklin County","franklin-county-ny",1629,28.448741559238798,0.002266361850786703,49,28.448741559238798,1629
2023,36017,50477,46242,"New York","NY",-0.08389959783663847,"Chenango County","Chenango County","chenango-county-ny",894,51.7248322147651,0.0022614225385512096,50,51.7248322147651,894
2023,36023,49336,46050,"New York","NY",-0.06660450786443972,"Cortland County","Cortland County","cortland-county-ny",499,92.28456913827655,0.002252032954895619,51,92.28456913827655,499
2023,36003,48946,45709,"New York","NY",-0.06613410697503375,"Allegany County","Allegany County","allegany-county-ny",1029,44.42079689018465,0.002235356663090637,52,44.42079689018465,1029
2023,36025,47980,43207,"New York","NY",-0.09947894956231762,"Delaware County","Delaware County","delaware-county-ny",1442,29.963245492371705,0.0021129986510787188,53,29.963245492371705,1442
2023,36121,42155,40045,"New York","NY",-0.05005337445142921,"Wyoming County","Wyoming County","wyoming-county-ny",593,67.52951096121417,0.001958363945250707,54,67.52951096121417,593
2023,36073,42883,39581,"New York","NY",-0.07700020987337641,"Orleans County","Orleans County","orleans-county-ny",391,101.230179028133,0.0019356724514163625,55,101.230179028133,391
2023,36031,39370,36784,"New York","NY",-0.06568453136906272,"Essex County","Essex County","essex-county-ny",1794,20.503901895206244,0.0017988877353502812,56,20.503901895206244,1794
2023,36099,35251,33382,"New York","NY",-0.05301977248872369,"Seneca County","Seneca County","seneca-county-ny",324,103.03086419753086,0.0016325160499527807,57,103.03086419753086,324
2023,36095,32749,28802,"New York","NY",-0.1205227640538642,"Schoharie County","Schoharie County","schoharie-county-ny",622,46.30546623794212,0.001408535356501707,58,46.30546623794212,622
2023,36049,27087,26432,"New York","NY",-0.02418134160298302,"Lewis County","Lewis County","lewis-county-ny",1275,20.730980392156862,0.0012926326832530075,59,20.730980392156862,1275
2023,36123,25348,24603,"New York","NY",-0.029390878964809852,"Yates County","Yates County","yates-county-ny",338,72.78994082840237,0.0012031871181171967,60,72.78994082840237,338
2023,36097,18343,17766,"New York","NY",-0.03145614130731067,"Schuyler County","Schuyler County","schuyler-county-ny",328,54.16463414634146,0.0008688299126313912,61,54.16463414634146,328
2023,36041,4836,5188,"New York","NY",0.07278742762613732,"Hamilton County","Hamilton County","hamilton-county-ny",1717,3.021549213744904,0.0002537143750271112,62,3.021549213744904,1717
